# Refrigerants – Summary Table

| Name | Chemical Formula | Tc (K) | Pc (bar) | Type |
|------|------------------|--------|----------|-------|
| R-11 | CCl3F | 471.1 | 44.0 | CFC |
| R-12 | CCl2F2 | 385.0 | 41.1 | CFC |
| R-13 | CClF3 | 302.0 | 39.6 | CFC |
| R-22 | CHClF2 | 369.3 | 49.9 | HCFC |
| R-23 | CHF3 | 299.3 | 48.2 | HFC |
| R-32 | CH2F2 | 351.3 | 57.8 | HFC |
| R-113 | C2Cl3F3 | 487.2 | 33.9 | CFC |
| R-114 | C2Cl2F4 | 418.8 | 32.6 | CFC |
| R-123 | CHCl2CF3 | 456.8 | 36.7 | HCFC |
| R-125 | C2HF5 | 339.2 | 36.2 | HFC |
| R-134a | C2H2F4 | 374.2 | 40.6 | HFC |
| R-143a | C2H3F3 | 345.9 | 37.6 | HFC |
| R-152a | C2H4F2 | 386.4 | 45.2 | HFC |
| R-170 | C2H6 | 305.3 | 48.8 | HC |
| R-290 | C3H8 | 369.8 | 42.5 | HC |
| R-600 | C4H10 | 425.0 | 37.96 | HC |
| R-600a | C4H10 (isobutane) | 407.7 | 36.48 | HC |
| R-717 | NH3 | 405.5 | 113.5 | Natural |
| R-744 | CO2 | 304.1 | 73.8 | Natural |
| R-1270 | C3H6 (propene) | 365.0 | 46.0 | HC |
| R-404A | R125/R143a/R134a (44/52/4) | 345.3 | 37.3 | Blend |
| R-407C | R32/R125/R134a (23/25/52) | 359.9 | 46.0 | Blend |
| R-410A | R32/R125 (50/50) | 344.5 | 49.0 | Blend |
| R-507 | R125/R143a (50/50) | 343.8 | 37.0 | Blend |

